length_mm,strength_mpa
265.0,0.36
265.0,0.5
265.0,0.57
265.0,0.95
265.0,0.99
265.0,1.09
265.0,1.09
265.0,1.33
265.0,1.33
265.0,1.37
265.0,1.38
265.0,1.38
265.0,1.39
265.0,1.41
265.0,1.42
265.0,1.42
265.0,1.45
265.0,1.49
265.0,1.5
265.0,1.56
265.0,1.57
265.0,1.57
265.0,1.75
265.0,1.78
265.0,1.79
265.0,1.79
265.0,1.82
265.0,1.83
265.0,1.86
265.0,1.89
265.0,1.9
265.0,1.92
265.0,1.93
265.0,1.96
265.0,1.97
265.0,1.99
265.0,2.04
265.0,2.06
265.0,2.06
265.0,2.08
265.0,2.11
265.0,2.26
265.0,2.27
265.0,2.27
265.0,2.38
265.0,2.39
265.0,2.47
265.0,2.48
265.0,2.73
265.0,2.74
25.4,1.25
25.4,1.5
25.4,1.57
25.4,1.85
25.4,1.92
25.4,1.94
25.4,2.0
25.4,2.02
25.4,2.13
25.4,2.17
25.4,2.17
25.4,2.2
25.4,2.23
25.4,2.24
25.4,2.3
25.4,2.33
25.4,2.42
25.4,2.43
25.4,2.45
25.4,2.49
25.4,2.51
25.4,2.54
25.4,2.57
25.4,2.62
25.4,2.66
25.4,2.68
25.4,2.71
25.4,2.72
25.4,2.76
25.4,2.79
25.4,2.79
25.4,2.8
25.4,2.81
25.4,2.82
25.4,2.9
25.4,2.92
25.4,2.93
25.4,3.02
25.4,3.11
25.4,3.11
25.4,3.14
25.4,3.2
25.4,3.2
25.4,3.22
25.4,3.26
25.4,3.29
25.4,3.3
25.4,3.34
25.4,3.35
25.4,3.37
25.4,3.43
25.4,3.43
25.4,3.47
25.4,3.61
25.4,3.61
25.4,3.62
25.4,3.64
25.4,3.72
25.4,3.79
25.4,3.84
25.4,3.93
25.4,4.03
25.4,4.07
25.4,4.13
12.7,1.96
12.7,1.98
12.7,2.06
12.7,2.07
12.7,2.07
12.7,2.11
12.7,2.22
12.7,2.25
12.7,2.39
12.7,2.42
12.7,2.63
12.7,2.67
12.7,2.75
12.7,2.75
12.7,2.75
12.7,2.89
12.7,2.93
12.7,2.95
12.7,2.96
12.7,2.97
12.7,3.0
12.7,3.03
12.7,3.04
12.7,3.05
12.7,3.07
12.7,3.08
12.7,3.13
12.7,3.2
12.7,3.22
12.7,3.23
12.7,3.26
12.7,3.27
12.7,3.29
12.7,3.3
12.7,3.36
12.7,3.39
12.7,3.39
12.7,3.41
12.7,3.41
12.7,3.43
12.7,3.52
12.7,3.72
12.7,3.96
12.7,4.07
12.7,4.09
12.7,4.13
12.7,4.13
12.7,4.14
12.7,4.15
12.7,4.29
5.0,2.36
5.0,2.4
5.0,2.54
5.0,2.67
5.0,2.68
5.0,2.69
5.0,2.7
5.0,2.77
5.0,2.77
5.0,2.79
5.0,2.83
5.0,2.91
5.0,3.04
5.0,3.05
5.0,3.06
5.0,3.24
5.0,3.27
5.0,3.28
5.0,3.34
5.0,3.36
5.0,3.39
5.0,3.51
5.0,3.53
5.0,3.59
5.0,3.63
5.0,3.64
5.0,3.64
5.0,3.66
5.0,3.71
5.0,3.73
5.0,3.75
5.0,3.78
5.0,3.81
5.0,3.88
5.0,3.93
5.0,3.94
5.0,3.94
5.0,3.94
5.0,3.7
5.0,4.04
5.0,4.07
5.0,4.08
5.0,4.08
5.0,4.16
5.0,4.18
5.0,4.22
5.0,4.24
5.0,4.35
5.0,4.37
5.0,4.5
